127.0.0.1 - - [31/Jan/2021:16:10:32 +0100] "GET / HTTP/1.1" 200 593
127.0.0.1 - - [31/Jan/2021:16:10:34 +0100] "GET /favicon.ico HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:11:06 +0100] "GET /public/ HTTP/1.1" 200 2317
127.0.0.1 - - [31/Jan/2021:16:11:14 +0100] "GET /public/ HTTP/1.1" 200 2317
127.0.0.1 - - [31/Jan/2021:16:11:18 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:11:18 +0100] "GET /public/assets/CSS/style2.css HTTP/1.1" 200 1616
127.0.0.1 - - [31/Jan/2021:16:11:18 +0100] "GET /public/assets/CSS/bootstrap/css/bootstrap.css HTTP/1.1" 200 192348
127.0.0.1 - - [31/Jan/2021:16:11:18 +0100] "GET /public/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 404 1421
127.0.0.1 - - [31/Jan/2021:16:11:26 +0100] "GET /public/home HTTP/1.1" 307 -
127.0.0.1 - - [31/Jan/2021:16:11:26 +0100] "GET /public/login HTTP/1.1" 200 1191
127.0.0.1 - - [31/Jan/2021:16:11:27 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:11:35 +0100] "POST /public/login/login HTTP/1.1" 303 261
127.0.0.1 - - [31/Jan/2021:16:11:37 +0100] "GET /public/home HTTP/1.1" 200 2549
127.0.0.1 - - [31/Jan/2021:16:11:38 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:11:38 +0100] "GET /public/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 404 1421
127.0.0.1 - - [31/Jan/2021:16:11:50 +0100] "GET /public/administracija HTTP/1.1" 200 4591
127.0.0.1 - - [31/Jan/2021:16:11:51 +0100] "GET /public/izpisZapiskov HTTP/1.1" 200 7185
127.0.0.1 - - [31/Jan/2021:16:11:51 +0100] "GET /public/vnos HTTP/1.1" 200 4232
127.0.0.1 - - [31/Jan/2021:16:11:53 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:11:53 +0100] "GET /public/assets/bootstrap-icons/star.svg HTTP/1.1" 200 642
127.0.0.1 - - [31/Jan/2021:16:11:53 +0100] "GET /public/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 404 1421
127.0.0.1 - - [31/Jan/2021:16:12:40 +0100] "GET /public/izpisZapiskov HTTP/1.1" 200 7185
127.0.0.1 - - [31/Jan/2021:16:12:40 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:12:40 +0100] "GET /public/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 404 1421
127.0.0.1 - - [31/Jan/2021:16:12:42 +0100] "GET /public/vnos/index/35 HTTP/1.1" 200 4273
127.0.0.1 - - [31/Jan/2021:16:12:45 +0100] "GET /public/vnos/index/36 HTTP/1.1" 200 4255
127.0.0.1 - - [31/Jan/2021:16:12:45 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:12:45 +0100] "GET /public/vnos/index/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 500 5273
127.0.0.1 - - [31/Jan/2021:16:12:47 +0100] "GET /public/izpisZapiskov HTTP/1.1" 200 7185
127.0.0.1 - - [31/Jan/2021:16:12:47 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:12:47 +0100] "GET /public/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 404 1421
127.0.0.1 - - [31/Jan/2021:16:12:51 +0100] "GET /public/vnos/index/25 HTTP/1.1" 200 4271
127.0.0.1 - - [31/Jan/2021:16:12:51 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:12:51 +0100] "GET /public/assets/bootstrap-icons/star-fill.svg HTTP/1.1" 200 399
127.0.0.1 - - [31/Jan/2021:16:12:51 +0100] "GET /public/vnos/index/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 500 5273
127.0.0.1 - - [31/Jan/2021:16:14:48 +0100] "GET /public/vnos/index/25 HTTP/1.1" 200 4316
127.0.0.1 - - [31/Jan/2021:16:14:48 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:14:48 +0100] "GET /public/vnos/index/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 500 5273
127.0.0.1 - - [31/Jan/2021:16:14:55 +0100] "GET /public/vnos HTTP/1.1" 200 4277
127.0.0.1 - - [31/Jan/2021:16:14:56 +0100] "GET /public/izpisZapiskov HTTP/1.1" 200 7185
127.0.0.1 - - [31/Jan/2021:16:14:58 +0100] "GET /index.php?debugbar HTTP/1.1" 404 196
127.0.0.1 - - [31/Jan/2021:16:14:58 +0100] "GET /public/assets/CSS/bootstrap/bootstrap.js HTTP/1.1" 404 1421
